SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,NEAREST_STN,NEAREST_SCH,NEAREST_SCH_DIST,MONTH_SOLD,YEAR_SOLD
South Lake,565000,4,2,2,600,160,2003,Cockburn Central Station,LAKELAND SENIOR HIGH SCHOOL,0.8283385518162787,9,2018
Wandi,365000,3,2,2,351,139,2013,Kwinana Station,ATWELL COLLEGE,5.524324354371822,2,2019
Camillo,287000,3,1,1,719,86,1979,Challis Station,KELMSCOTT SENIOR HIGH SCHOOL,1.6491781833669859,6,2015
Bellevue,255000,2,1,2,651,59,1953,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,1.5714009366124688,7,2018
Lockridge,325000,4,1,2,466,131,1998,Bassendean Station,KIARA COLLEGE,1.5149216294528034,11,2016
Mount Richon,409000,4,2,1,759,118,1991,Armadale Station,ARMADALE SENIOR HIGH SCHOOL,1.2272191943992041,3,2013
Hilbert,400000,3,2,2,386,132,2014,Armadale Station,DALE CHRISTIAN SCHOOL,2.485730857063224,5,2016
Waikiki,370000,4,2,2,468,158,2013,Warnbro Station,SOUTH COAST BAPTIST COLLEGE,0.4915731383363828,3,2019
Hamersley,565000,4,2,3,875,168,1983,Warwick Station,WARWICK SENIOR HIGH SCHOOL,1.2219275931111655,6,2020
Bayswater,685000,3,2,8,552,126,1999,Bayswater Station,CHISHOLM CATHOLIC COLLEGE,0.936243264888652,10,2019
Carmel,675000,4,2,6,2538,241,1977,Madding,CARMEL ADVENTIST COLLEGE,0.4964007594795787,7,2014
Butler,367500,3,2,2,398,158,2003,Butler Station,BUTLER COLLEGE,0.6808433268155856,11,2018
Balga,300000,3,2,2,243,94,2008,Warwick Station,BALGA SENIOR HIGH SCHOOL,0.18935031371595692,12,2019
Hammond Park,535000,4,2,4,704,247,2002,Cockburn Central Station,ATWELL COLLEGE,2.2206426655498723,7,2019
Wattle Grove,540000,4,2,2,614,186,2004,Madding,REHOBOTH CHRISTIAN COLLEGE,3.2343986089606025,5,2018
Bull Creek,685000,3,2,3,706,196,1985,Murdoch Station,LEEMING SENIOR HIGH SCHOOL,1.1833626029374116,11,2017
Bullsbrook,350000,4,2,2,663,154,1994,Midland Station,HOLY CROSS COLLEGE,14.013548390601851,11,2017
Maida Vale,570000,4,2,2,568,225,2003,Midland Station,DARLING RANGE SPORTS COLLEGE,2.746772139797852,10,2020
Koongamia,318000,2,1,3,751,90,1959,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,1.8592465386914536,5,2013
Mount Nasura,379000,3,2,3,785,167,1977,Challis Station,SOWILO COMMUNITY HIGH SCHOOL,1.3641957547366643,8,2017
Forrestdale,387500,4,1,1,782,111,1981,Armadale Station,CAREY BAPTIST COLLEGE,4.204627996200461,4,2017
Atwell,465000,4,2,2,450,173,2000,Cockburn Central Station,ATWELL COLLEGE,0.7471080892276758,8,2017
Lockridge,325000,3,1,1,421,93,1972,Success Hill Station,KIARA COLLEGE,1.930504981792736,8,2014
Ashby,515000,3,2,2,388,160,2007,Joondalup Station,WANNEROO SECONDARY COLLEGE,3.141444909009006,9,2014
Woodbridge,610000,3,1,1,550,121,1920,Woodbridge Station,GOVERNOR STIRLING SENIOR HIGH SCHOOL,0.5195732638053656,4,2013
Bicton,1950000,5,2,2,855,305,1981,North Fremantle Station,SANTA MARIA COLLEGE,1.4288256583640708,10,2018
Singleton,420000,4,2,2,600,295,2006,Mandurah Station,COMET BAY COLLEGE,2.1320305200513947,1,2015
South Guildford,347500,3,1,3,452,88,1995,East Guildford Station,GUILDFORD GRAMMAR SCHOOL,1.5178108452820758,8,2018
Wattle Grove,492000,4,2,2,459,250,2012,Madding,HERITAGE COLLEGE PERTH,3.374077197496846,11,2017
Armadale,201000,3,1,2,711,99,1985,Armadale Station,ARMADALE SENIOR HIGH SCHOOL,0.6307358201923885,2,2019
Kenwick,275000,3,1,1,570,108,1996,Madding,REHOBOTH CHRISTIAN COLLEGE,1.296626334289668,4,2018
Hamilton Hill,410000,4,2,1,808,155,1983,Fremantle Station,PORT SCHOOL,1.173982946797674,12,2019
